method,h,lp_norm,inside_cells,inside_cells_by_dim,all_err,full_err,cut_err,empty_err,pair_order_all,pair_order_full,pair_order_cut,k_min,k_max,k_ratio,eps,r0,mean,k_mode,m
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007418161162985786,0.0007383100663813355,7.20374644216023e-5,0.0,1.391576046631325,1.3847796176778437,1.8861590907880157,1.0,1000.0,1000.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027887718501670575,0.0002781262340376752,2.045195009926618e-5,0.0,1.4114316992975466,1.408486996692468,1.8165089909745054,1.0,1000.0,1000.0,0.025,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004760230287403244,0.00466608887685086,0.0009420228141822633,0.0,NaN,NaN,NaN,1.0,1000.0,1000.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.001892491306739302,0.001873661537807302,0.00026630018367513225,0.0,1.3307446958787381,1.3163534221281197,1.8227085762504833,1.0,1000.0,1000.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007281269629442912,0.0007245545096314461,7.20391333874277e-5,0.0,1.378024734021301,1.3706942293373008,1.8862006924140111,1.0,1000.0,1000.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027545052738231886,0.00027469019796361313,2.045209470710982e-5,0.0,1.402396808880558,1.3992888003442705,1.8165322142794569,1.0,1000.0,1000.0,0.025,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004869418520310597,0.004777419734249381,0.0009420708087762868,0.0,NaN,NaN,NaN,1.0,10.0,10.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018402679633410805,0.0018209018520561797,0.0002662754627785014,0.0,1.403833649823988,1.3915784724990545,1.8229160103965096,1.0,10.0,10.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007104437546884786,0.0007067823137214114,7.20353356795878e-5,0.0,1.3731235119182454,1.3653153181435873,1.8861428164358789,1.0,10.0,10.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00026989981110195853,0.000269123826991143,2.045174267670612e-5,0.0,1.396296469791015,1.3929958125897381,1.8164809898148195,1.0,10.0,10.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004928348697801696,0.004837443337691112,0.0009422116756608019,0.0,NaN,NaN,NaN,1.0,10.0,10.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018576380225452797,0.001838451696502552,0.0002662975449245202,0.0,1.4076349283141287,1.3957534910149687,1.8230120816676245,1.0,10.0,10.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007150723065630694,0.0007114344027541948,7.203814400170186e-5,0.0,1.3773083704410023,1.3696886262131762,1.8862062108901614,1.0,10.0,10.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027100168566502865,0.0002702288469751016,2.04519900203952e-5,0.0,1.3997873061112789,1.3965490495061572,1.8165197848059942,1.0,10.0,10.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.0052865742156211785,0.00520195602728482,0.0009420830257816083,0.0,NaN,NaN,NaN,1.0,100.0,100.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0019243182510314105,0.0019058065583909556,0.0002662744697611961,0.0,1.4579857185284717,1.4486525126360195,1.8229400997305345,1.0,100.0,100.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007311486526381002,0.0007275913998486517,7.203545738584771e-5,0.0,1.3961107562263806,1.389201295928357,1.8861349987212115,1.0,100.0,100.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027548441111949977,0.0002747241995673218,2.0451771120173592e-5,0.0,1.4081940727735573,1.405144492035981,1.8164814208560196,1.0,100.0,100.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.005029376330542706,0.0049403195754736725,0.0009422678846351648,0.0,NaN,NaN,NaN,1.0,100.0,100.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0018899026279778953,0.0018710463855318357,0.0002663031476081586,0.0,1.412067603774819,1.4007590435415265,1.8230677923098246,1.0,100.0,100.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007235727190967174,0.0007199776663103853,7.203915487613133e-5,0.0,1.3851019853927244,1.377821265202572,1.886216319240917,1.0,100.0,100.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002730541930510719,0.0002722871719651277,2.0452098327680894e-5,0.0,1.4059507038010541,1.402823139370725,1.816532389228093,1.0,100.0,100.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.005801856163179914,0.005724859196715324,0.0009420839219585226,0.0,NaN,NaN,NaN,1.0,1000.0,1000.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0020527913867916356,0.00203544850222514,0.00026627405520508176,0.0,1.4989275071611368,1.4918934893699216,1.8229437182226917,1.0,1000.0,1000.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007599374975680747,0.0007565156302698639,7.203541745154626e-5,0.0,1.4336343507293505,1.4279049259026189,1.886133552410525,1.0,1000.0,1000.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.0002818195815185908,0.00028107650499488,2.0451769292089644e-5,0.0,1.4311089092416498,1.4284070252790493,1.8164807500243196,1.0,1000.0,1000.0,0.01,0.25,harmonic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.005091302385620919,0.005003347510328103,0.0009422704880886489,0.0,NaN,NaN,NaN,1.0,1000.0,1000.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.001968603727383347,0.001950508484064829,0.0002663030023464474,0.0,1.3708620222246042,1.3590433853888253,1.8230725653749797,1.0,1000.0,1000.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0007451995711309762,0.0007417093500584555,7.203916191666021e-5,0.0,1.4014739822042754,1.3949244126283127,1.8862153912891866,1.0,1000.0,1000.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00027643489141711204,0.00027567727645401587,2.045210110689966e-5,0.0,1.4306871208257474,1.4278736021996092,1.816532334178896,1.0,1000.0,1000.0,0.01,0.25,arithmetic,variable,2
DiskSteepK,0.025,L^2,1185,"[40, 40]",0.004259249073411048,0.004153811836146036,0.000941833265098428,0.0,NaN,NaN,NaN,1.0,1.0,1.0,,0.25,harmonic,constant,2
DiskSteepK,0.0125,L^2,4865,"[80, 80]",0.0017275055412680892,0.0017068638779222007,0.00026625382129904135,0.0,1.3019087603183943,1.283087856613722,1.8226694476556282,1.0,1.0,1.0,,0.25,harmonic,constant,2
DiskSteepK,0.00625,L^2,19789,"[160, 160]",0.0006738750350480405,0.0006700142482218737,7.20310352603295e-5,0.0,1.3581373537077295,1.3490843275775741,1.886111686606461,1.0,1.0,1.0,,0.25,harmonic,constant,2
DiskSteepK,0.003125,L^2,79813,"[320, 320]",0.00025730734362482165,0.00025649330275891294,2.0451276808229046e-5,0.0,1.3889884469041345,1.385270619174659,1.816427723557885,1.0,1.0,1.0,,0.25,harmonic,constant,2
